@relation 'KDDTest21R2L-weka.filters.unsupervised.attribute.Remove-R5-6,10,12-18,22-26,37-38'
@attribute 'duration'  real
@attribute 'src_bytes'  real
@attribute 'dst_bytes'  real
@attribute 'land' {0,1}
@attribute 'hot' real
@attribute 'num_failed_logins'  real
@attribute 'logged_in' {0,1}
@attribute 'root_shell'  real
@attribute 'is_guest_login' {0,1}
@attribute 'count'  real
@attribute 'srv_count'  real
@attribute 'diff_srv_rate'  real
@attribute 'srv_diff_host_rate'  real
@attribute 'dst_host_count'  real
@attribute 'dst_host_srv_count'  real
@attribute 'dst_host_same_srv_rate'  real
@attribute 'dst_host_diff_srv_rate'  real
@attribute 'dst_host_same_src_port_rate'  real
@attribute 'dst_host_srv_diff_host_rate'  real
@attribute 'dst_host_serror_rate'  real
@attribute 'dst_host_srv_serror_rate'  real
@attribute 'protocol_type' {1,2,3}
@attribute 'service' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70}
@attribute 'flag' {1,2,3,4,5,6,7,8,9,10,11}
@attribute 'xAttack' {0,1}
@data
0,124,174,0,0,1,0,0,0,2,2,0,0,255,34,0.13,0.02,0,0,0,0,1,61,2,1
2,35,130,0,0,0,1,0,0,1,1,0,0,148,4,0.03,0.03,0.01,0,0,0,1,48,2,0
0,43,0,0,0,0,0,0,0,4,4,0,0,255,253,0.99,0.01,0.01,0,0,0,3,50,2,1
0,45,114,0,0,0,0,0,0,2,5,0,0.4,255,233,0.91,0.01,0,0,0,0,3,12,2,0
0,7,225,0,0,0,0,0,0,1,1,0,0,1,12,1,0,1,0.17,0,0,1,19,2,0
0,52,53,0,0,0,0,0,0,508,508,0,0,255,255,1,0,0.99,0,0,0,3,50,2,0
281,156,593,0,2,0,1,0,1,1,1,0,0,255,3,0.01,0.02,0,0,0.33,0,1,20,2,1
0,120,174,0,0,1,0,0,0,1,1,0,0,255,255,1,0,0,0,0,0,1,61,2,1
0,45,138,0,0,0,0,0,0,98,178,0.02,0.01,255,254,1,0.01,0,0,0,0,3,12,2,0
0,1,0,0,0,0,0,0,0,23,21,0.09,0,255,21,0.08,0.58,0.95,0,0.01,0,3,50,2,0
280,283618,0,0,0,0,0,0,0,2,2,0,0,6,28,1,0,1,0.18,0,0,1,20,2,1
0,229,489,0,0,0,1,0,0,2,2,0,0,87,177,1,0,0.01,0.03,0.01,0.01,1,25,2,0
0,56,57,0,0,0,0,0,0,491,491,0,0,255,255,1,0,1,0,0,0,3,50,2,0
4,32,93,0,0,0,1,0,0,2,1,1,0,255,136,0.53,0.02,0,0,0,0,1,48,2,1
5,30,93,0,0,0,1,0,0,1,1,0,0,255,255,1,0,0,0,0,0,1,48,2,1
0,335,282,0,0,0,1,0,0,12,12,0,0,255,225,0.88,0.02,0,0,0,0,1,25,2,0
4,30,93,0,0,0,1,0,0,1,1,0,0,255,232,0.91,0.04,0,0,0,0,1,48,2,1
0,28,0,0,0,0,0,0,0,71,71,0,0,96,71,0.74,0.04,0.74,0,0,0,3,50,2,0
283,164,601,0,2,0,1,0,1,1,1,0,0,255,60,0.24,0.03,0,0,0.11,0,1,20,2,1
0,12,0,0,0,0,0,0,0,1,1,0,0,5,25,1,0,1,0.16,0,0,1,20,2,1
0,43,0,0,0,0,0,0,0,5,5,0,0,255,255,1,0,0,0,0,0,3,50,2,1
0,301,2507,0,0,0,1,0,0,1,1,0,0,255,229,0.9,0.01,0,0,0,0,1,25,2,0
4,30,93,0,0,0,1,0,0,1,1,0,0,255,213,0.84,0.02,0,0,0,0,1,48,2,1
5,32,93,0,0,0,1,0,0,1,1,0,0,255,136,0.53,0.02,0,0,0,0,1,48,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,255,164,0.64,0.02,0,0,0,0,1,48,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,255,237,0.93,0.01,0,0,0,0,1,48,2,1
0,345,6256,0,0,0,1,0,0,3,3,0,0,255,255,1,0,0,0,0,0,1,25,2,0
0,26,157,0,0,1,0,0,1,1,1,0,0,179,85,0.47,0.03,0.01,0,0,0,1,20,2,1
0,120,174,0,0,1,0,0,0,2,2,0,0,255,229,0.9,0.02,0,0,0,0,1,61,2,1
0,122,174,0,0,1,0,0,0,1,1,0,0,255,152,0.6,0.02,0,0,0,0,1,61,2,1
0,44,44,0,0,0,0,0,0,115,115,0,0,255,255,1,0,0,0,0,0,3,12,2,0
0,12,0,0,0,0,0,0,0,1,1,0,0,1,11,1,0,1,0.18,0,0,1,20,2,1
0,45,114,0,0,0,0,0,0,2,4,0,0.5,255,225,0.88,0.01,0,0,0,0,3,12,2,0
0,47,0,0,0,0,0,0,0,5,5,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
0,125,174,0,0,1,0,0,0,1,1,0,0,255,147,0.58,0.02,0,0,0,0,1,61,2,1
0,26,157,0,0,1,0,0,1,2,1,1,0,91,48,0.53,0.04,0.01,0,0,0,1,20,2,1
0,12,0,0,0,0,0,0,0,2,2,0,0,2,13,1,0,1,0.31,0,0,1,20,2,1
280,283618,0,0,0,0,0,0,0,3,2,0.67,0,255,16,0.06,0.03,0.06,0,0,0,1,20,2,1
0,1050,391,0,0,0,1,0,0,1,4,0,1,255,14,0.05,0.78,0,0,0,0,1,55,2,0
0,44,44,0,0,0,0,0,0,4,7,0,0.29,255,234,0.92,0.01,0.01,0,0,0,3,12,2,0
0,120,174,0,0,1,0,0,0,2,2,0,0,255,248,0.97,0.01,0,0,0,0,1,61,2,1
0,337,103,0,0,0,1,0,0,1,1,0,0,255,255,1,0,0,0,0,0,1,25,2,0
0,47,44,0,0,0,0,0,0,162,162,0,0,255,255,1,0,0.63,0,0,0,3,50,2,0
0,1,0,0,0,0,0,0,0,510,9,0.98,0,255,9,0.04,0.97,1,0,0,0,3,50,2,0
0,44,74,0,0,0,0,0,0,363,363,0,0,255,254,1,0.01,0,0,0,0,3,12,2,0
282,159,597,0,2,0,1,0,1,1,1,0,0,255,25,0.1,0.02,0,0,0,0,1,20,2,1
0,120,174,0,0,1,0,0,0,2,2,0,0,255,224,0.88,0.02,0,0,0,0,1,61,2,1
0,687,0,0,0,0,0,0,0,1,1,0,0,6,1,0.17,0.5,0.17,0,0,0,1,20,2,0
0,44,112,0,0,0,0,0,0,1,2,0,1,255,243,0.95,0.01,0,0,0,0,3,12,2,0
0,26,157,0,0,1,0,0,1,1,1,0,0,56,29,0.52,0.07,0.02,0,0,0,1,20,2,1
0,45,128,0,0,0,0,0,0,143,223,0,0.01,255,255,1,0,0,0,0,0,3,12,2,0
0,105,146,0,0,0,0,0,0,2,2,0,0,255,255,1,0,0,0,0,0,3,50,2,1
0,305,2507,0,0,0,1,0,0,4,4,0,0,255,255,1,0,0,0,0.84,0.84,1,25,2,0
0,12,0,0,0,0,0,0,0,1,1,0,0,7,29,1,0,1,0.17,0,0,1,20,2,1
0,45,128,0,0,0,0,0,0,103,183,0,0.01,255,255,1,0,0,0,0,0,3,12,2,0
3,28,93,0,0,0,1,0,0,1,1,0,0,255,248,0.97,0.01,0,0,0,0,1,48,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,212,193,0.91,0.01,0,0,0,0,1,48,2,1
4,26,93,0,0,0,1,0,0,1,1,0,0,255,248,0.97,0.02,0,0,0,0,1,48,2,1
0,552,0,0,0,0,0,0,0,1,1,0,0,255,1,0,0.02,0,0,0,0,2,66,2,1
0,44,81,0,0,0,0,0,0,128,128,0,0,255,255,1,0,0.01,0,0,0,3,12,2,0
0,124,174,0,0,1,0,0,0,1,1,0,0,255,169,0.66,0.02,0,0,0,0,1,61,2,1
9,4209,7919,0,0,0,1,0,0,1,1,0,0,113,2,0.02,0.04,0.01,0,0,0,1,61,2,1
0,40008,0,0,0,0,0,0,0,3,3,0,0,102,102,1,0,1,0,0,0,2,16,2,0
0,44,44,0,0,0,0,0,0,105,105,0,0,255,255,1,0,0,0,0,0,3,12,2,0
5,31,93,0,0,0,1,0,0,1,1,0,0,255,231,0.91,0.02,0,0,0,0,1,48,2,1
0,125,174,0,0,1,0,0,0,1,1,0,0,255,133,0.52,0.02,0,0,0,0,1,61,2,1
0,12,0,0,0,0,0,0,0,1,1,0,0,12,19,0.92,0.17,0.92,0.11,0,0,1,20,2,1
0,41,41,0,0,0,0,0,0,2,2,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
0,49,46,0,0,0,0,0,0,505,505,0,0,255,255,1,0,1,0,0,0,3,50,2,0
0,50,0,0,0,0,0,0,0,4,4,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,255,243,0.95,0.02,0,0,0,0,1,48,2,1
282,160,597,0,2,0,1,0,1,3,1,0.67,0,255,1,0,0.04,0,0,0,0,1,20,2,1
0,10,0,0,0,0,0,0,0,1,1,0,0,255,1,0,0.06,0,0,0,0,1,19,2,0
0,46,0,0,0,0,0,0,0,4,4,0,0,255,254,1,0.01,0,0,0,0,3,50,2,1
0,120,174,0,0,1,0,0,0,1,1,0,0,255,81,0.32,0.02,0,0,0,0,1,61,2,1
0,43,0,0,0,0,0,0,0,5,5,0,0,255,254,1,0.01,0,0,0,0,3,50,2,1
0,120,174,0,0,1,0,0,0,1,1,0,0,255,248,0.97,0.01,0,0,0,0,1,61,2,1
6,30,93,0,0,0,1,0,0,1,1,0,0,255,249,0.98,0.01,0,0,0,0,1,48,2,1
3,0,0,0,0,0,0,0,0,173,2,0.54,0,181,2,0.01,0.51,0.96,0,0,0,1,50,3,0
0,12,0,0,0,0,0,0,0,1,1,0,0,1,16,1,0,1,0.31,0,0,1,20,2,1
0,45,76,0,0,0,0,0,0,316,316,0,0,243,220,0.91,0.01,0,0,0,0,3,12,2,0
0,105,146,0,0,0,0,0,0,1,1,0,0,190,188,0.99,0.01,0.01,0,0,0,3,50,2,0
0,12,0,0,0,0,0,0,0,1,1,0,0,3,21,1,0,1,0.14,0,0,1,20,2,1
4,26,93,0,0,0,1,0,0,1,1,0,0,255,248,0.97,0.01,0,0,0,0,1,48,2,1
0,44,44,0,0,0,0,0,0,151,151,0,0,255,255,1,0,0,0,0,0,3,12,2,0
0,126,174,0,0,1,0,0,0,1,1,0,0,255,206,0.81,0.02,0,0,0,0,1,61,2,1
0,42,138,0,0,0,0,0,0,136,207,0.01,0.01,255,254,1,0.01,0,0,0,0,3,12,2,0
0,55,50,0,0,0,0,0,0,293,293,0,0,255,255,1,0,0.99,0,0,0,3,50,2,0
0,54,52,0,0,0,0,0,0,427,427,0,0,255,255,1,0,0.96,0,0,0,3,50,2,0
282,158,593,0,2,0,1,0,1,1,1,0,0,255,103,0.4,0.03,0,0,0,0,1,20,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,200,181,0.9,0.01,0,0,0,0,1,48,2,1
0,26,157,0,0,1,0,0,1,1,1,0,0,246,125,0.51,0.02,0,0,0,0,1,20,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,42,42,0.98,0.05,0.02,0.05,0,0,1,48,2,1
0,45,141,0,0,0,0,0,0,94,157,0.02,0.01,255,255,1,0,0,0,0,0,3,12,2,0
0,45,45,0,0,0,0,0,0,2,3,0,0.67,255,224,0.88,0.01,0.01,0,0,0,3,12,2,0
0,45,45,0,0,0,0,0,0,132,210,0,0.01,255,224,0.88,0.01,0.01,0,0,0,3,12,2,0
282,158,595,0,2,0,1,0,1,1,1,0,0,255,94,0.37,0.03,0,0,0,0,1,20,2,1
0,46,43,0,0,0,0,0,0,13,13,0,0,255,254,1,0.01,0.05,0,0,0,3,50,2,0
282,160,599,0,2,0,1,0,1,1,1,0,0,255,42,0.16,0.02,0,0,0,0,1,20,2,1
0,44,75,0,0,0,0,0,0,206,206,0,0,255,255,1,0,0.01,0,0,0,3,12,2,0
0,44,44,0,0,0,0,0,0,2,4,0,0.5,255,236,0.93,0.01,0.01,0,0,0,3,12,2,0
280,283618,0,0,0,0,0,0,0,2,2,0,0,14,14,1,0,1,0,0,0,1,20,2,1
0,55,52,0,0,0,0,0,0,481,481,0,0,255,255,1,0,0.94,0,0,0,3,50,2,0
4,32,93,0,0,0,1,0,0,1,1,0,0,255,234,0.92,0.02,0,0,0,0,1,48,2,1
0,859,388,0,0,0,1,0,0,1,1,0,0,255,15,0.06,0.88,0,0,0,0,1,55,2,0
0,45,76,0,0,0,0,0,0,333,333,0,0,255,254,1,0.01,0,0,0,0,3,12,2,0
0,123,174,0,0,1,0,0,0,1,1,0,0,255,145,0.57,0.02,0,0,0,0,1,61,2,1
0,1,1,0,0,0,0,0,0,6,2,0.5,0,255,2,0.01,0.97,0.02,0,0.06,0,3,50,2,0
182,334,284,0,0,0,1,0,0,2,2,0,0,255,144,0.56,0.36,0,0,0.01,0,1,25,2,0
0,25,157,0,0,1,0,0,1,1,1,0,0,31,11,0.35,0.13,0.03,0,0,0,1,20,2,1
0,50,0,0,0,0,0,0,0,3,3,0,0,255,255,1,0,0.01,0,0,0,3,50,2,1
0,44,71,0,0,0,0,0,0,218,217,0.01,0,255,254,1,0.01,0.01,0,0,0,3,12,2,0
0,105,147,0,0,0,0,0,0,1,1,0,0,255,247,0.97,0.01,0.01,0,0,0,3,50,2,1
280,283618,0,0,1,0,0,0,0,2,2,0,0,2,2,1,0,1,0,0,0,1,20,2,1
0,43,43,0,0,0,0,0,0,225,225,0,0,255,255,1,0,0,0,0,0,3,12,2,0
1,78162,174,0,0,0,1,0,0,3,3,0,0,255,255,1,0,0,0,0,0,1,25,2,0
0,120,174,0,0,1,0,0,0,1,1,0,0,255,254,1,0.01,0,0,0.02,0.02,1,61,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,160,142,0.88,0.02,0.01,0.01,0,0,1,48,2,1
4,30,93,0,0,0,1,0,0,1,1,0,0,255,246,0.96,0.03,0,0,0,0,1,48,2,1
283,162,597,0,2,0,1,0,1,1,1,0,0,25,22,0.88,0.08,0.04,0,0,0,1,20,2,1
4,30,93,0,0,0,1,0,0,1,1,0,0,255,245,0.96,0.01,0,0,0,0,1,48,2,1
0,122,174,0,0,1,0,0,0,1,1,0,0,255,30,0.12,0.02,0,0,0,0,1,61,2,1
3,28,93,0,0,0,1,0,0,1,1,0,0,255,250,0.98,0.01,0,0,0,0,1,48,2,1
0,43,43,0,0,0,0,0,0,3,3,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
0,0,83,0,0,0,1,0,0,2,2,0,0,255,192,0.75,0.02,0.01,0,0,0,1,55,2,0
5,32,93,0,0,0,1,0,0,1,1,0,0,89,76,0.84,0.03,0.01,0.03,0,0,1,48,2,1
0,45,143,0,0,0,0,0,0,137,217,0,0.01,255,255,1,0,0,0,0,0,3,12,2,0
5,30,93,0,0,0,1,0,0,1,1,0,0,255,222,0.87,0.04,0,0,0,0,1,48,2,1
0,122,174,0,0,1,0,0,0,1,1,0,0,255,25,0.1,0.02,0,0,0,0,1,61,2,1
0,42,42,0,0,0,0,0,0,3,3,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
0,45,0,0,0,0,0,0,0,1,1,0,0,255,255,1,0,0.01,0,0,0,3,50,2,1
0,26,157,0,0,1,0,0,1,1,1,0,0,186,87,0.47,0.03,0.01,0,0,0,1,20,2,1
1,55,170,0,0,1,0,0,0,1,1,0,0,138,14,0.1,0.06,0.01,0,0,0,1,20,2,0
4,28,93,0,0,0,1,0,0,1,1,0,0,108,93,0.85,0.03,0.01,0.02,0,0,1,48,2,1
4,28,93,0,0,0,1,0,0,1,1,0,0,255,138,0.54,0.02,0,0,0,0,1,48,2,1
0,105,146,0,0,0,0,0,0,2,2,0,0,255,254,1,0.01,0.02,0,0,0,3,50,2,0
282,158,595,0,2,0,1,0,1,1,1,0,0,255,20,0.08,0.02,0,0,0.08,0,1,20,2,1
4,28,93,0,0,0,1,0,0,1,1,0,0,124,109,0.87,0.02,0.01,0.02,0,0,1,48,2,1
0,1,0,0,0,0,0,0,0,66,2,0.67,0,255,2,0.01,0.74,1,0,0,0,3,50,2,0
8,32,93,0,0,0,1,0,0,1,1,0,0,255,230,0.9,0.02,0,0,0,0,1,48,2,1
0,40008,0,0,0,0,0,0,0,3,3,0,0,134,145,0.18,0.04,0.18,0.43,0,0,2,15,2,0
1,2564,333,0,0,0,1,0,0,1,1,0,0,255,196,0.77,0.02,0,0,0,0,1,55,2,0
4,32,93,0,0,0,1,0,0,1,1,0,0,9,12,1,0,0.11,0.25,0,0,1,48,2,1
282,162,599,0,2,0,1,0,1,1,1,0,0,230,77,0.33,0.03,0,0,0,0,1,20,2,1
0,54,54,0,0,0,0,0,0,510,510,0,0,255,255,1,0,0.86,0,0,0,3,50,2,0
0,1,0,0,0,0,0,0,0,13,12,0.15,0,255,19,0.07,0.16,1,0,0,0,3,50,2,0
8,30,93,0,0,0,1,0,0,1,1,0,0,255,246,0.96,0.01,0,0,0,0,1,48,2,1
5,26,93,0,0,0,1,0,0,1,1,0,0,255,228,0.89,0.02,0,0,0,0,1,48,2,1
5,26,93,0,0,0,1,0,0,1,1,0,0,193,174,0.9,0.02,0.01,0,0,0,1,48,2,1
282,162,599,0,2,0,1,0,1,1,1,0,0,255,38,0.15,0.03,0,0,0.32,0,1,20,2,1
0,42,0,0,0,0,0,0,0,3,3,0,0,255,255,1,0,0,0,0,0,3,50,2,1
0,126,174,0,0,1,0,0,0,1,1,0,0,255,217,0.85,0.02,0,0,0,0,1,61,2,1
0,44,110,0,0,0,0,0,0,155,234,0,0.01,255,255,1,0,0,0,0,0,3,12,2,0
282,160,595,0,2,0,1,0,1,1,1,0,0,151,52,0.34,0.04,0.01,0,0,0,1,20,2,1
0,46,46,0,0,0,0,0,0,84,164,0,0.01,255,255,1,0,0.01,0,0,0,3,12,2,0
0,42,0,0,0,0,0,0,0,1,1,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
4,28,93,0,0,0,1,0,0,1,1,0,0,255,246,0.96,0.01,0,0,0,0,1,48,2,1
283,160,595,0,2,0,1,0,1,1,1,0,0,13,11,0.85,0.15,0.08,0,0,0,1,20,2,1
0,105,146,0,0,0,0,0,0,1,1,0,0,255,252,0.99,0.01,0,0,0,0,3,50,2,0
0,325,274,0,0,0,1,0,0,2,19,0,0.11,255,233,0.91,0.02,0,0,0,0,1,25,2,0
0,126,174,0,0,1,0,0,0,2,2,0,0,255,255,1,0,0,0,0.01,0.01,1,61,2,1
0,121,174,0,0,1,0,0,0,1,1,0,0,255,100,0.39,0.02,0,0,0,0,1,61,2,1
1179,146,105,0,0,0,0,0,0,1,1,0,0,33,14,0.42,0.12,1,0,0,0,3,45,2,1
0,45,135,0,0,0,0,0,0,137,216,0,0.01,255,255,1,0,0,0,0,0,3,12,2,0
5,28,93,0,0,0,1,0,0,1,1,0,0,219,200,0.91,0.01,0,0,0,0,1,48,2,1
0,105,105,0,0,0,0,0,0,1,1,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
11,151,2482,0,1,0,1,0,1,4,1,0.5,0,255,2,0.01,0.02,0,0,0,0,1,61,2,1
0,52,52,0,0,0,0,0,0,511,511,0,0,255,255,1,0,0.89,0,0,0,3,50,2,0
0,42,68,0,0,0,0,0,0,221,221,0,0,255,255,1,0,0.01,0,0,0,3,12,2,0
0,26,157,0,0,1,0,0,1,1,1,0,0,183,86,0.47,0.03,0.01,0,0,0,1,20,2,1
0,43,43,0,0,0,0,0,0,129,129,0,0,255,254,1,0.01,0,0,0,0,3,12,2,0
0,105,146,0,0,0,0,0,0,1,1,0,0,65,65,1,0,0.02,0,0,0,3,50,2,1
283,158,595,0,2,0,1,0,1,1,1,0,0,255,98,0.38,0.03,0,0,0.02,0,1,20,2,1
2,191,10914,0,0,0,1,1,0,1,1,0,0,42,3,0.07,0.12,0.02,0,0,0,1,61,2,1
0,301,2507,0,0,0,1,0,0,5,5,0,0,255,230,0.9,0.02,0,0,0,0,1,25,2,0
32,1534,4152,0,30,0,1,0,1,1,1,0,0,72,17,0.24,0.04,0.01,0,0,0,1,20,2,0
0,105,146,0,0,0,0,0,0,2,2,0,0,225,224,1,0.01,0,0,0,0,3,50,2,0
0,1,4,0,0,0,0,0,0,45,4,0.27,0,255,4,0.02,0.71,0.38,0,0,0,3,50,2,0
5,30,93,0,0,0,1,0,0,1,1,0,0,255,253,0.99,0.01,0,0,0,0,1,48,2,1
0,49,0,0,0,0,0,0,0,5,5,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
0,54,52,0,0,0,0,0,0,216,216,0,0,255,255,1,0,0.84,0,0,0,3,50,2,0
0,46,0,0,0,0,0,0,0,2,2,0,0,255,255,1,0,0,0,0,0,3,50,2,1
0,46,155,0,0,0,0,0,0,121,200,0,0.01,255,255,1,0,0,0,0,0,3,12,2,0
0,47,44,0,0,0,0,0,0,107,107,0,0,255,255,1,0,0.6,0,0,0,3,50,2,0
0,123,174,0,0,1,0,0,0,1,1,0,0,255,136,0.53,0.02,0,0,0,0,1,61,2,1
280,283618,0,0,0,0,0,0,0,1,1,0,0,1,23,1,0,1,0.22,0,0,1,20,2,1
282,160,599,0,2,0,1,0,1,1,1,0,0,65,33,0.51,0.05,0.02,0,0,0,1,20,2,1
280,283618,0,0,0,0,0,0,0,1,1,0,0,1,11,1,0,1,0.18,0,0,1,20,2,1
0,105,145,0,0,0,0,0,0,2,2,0,0,255,254,1,0.01,0,0,0,0,3,50,2,0
281,162,597,0,2,0,1,0,1,1,1,0,0,255,113,0.44,0.03,0,0,0,0,1,20,2,1
0,516,4,0,0,0,0,0,0,10,10,0,0,12,10,0.83,0.17,0.75,0,0,0,3,45,2,1
0,45,45,0,0,0,0,0,0,223,223,0,0,255,248,0.97,0.01,0,0,0,0,3,12,2,0
4,30,93,0,0,0,1,0,0,1,1,0,0,255,254,1,0.01,0,0,0,0,1,48,2,1
0,46,46,0,0,0,0,0,0,124,204,0,0.01,255,255,1,0,0.01,0,0,0,3,12,2,0
0,26,157,0,0,1,0,0,1,1,1,0,0,216,106,0.49,0.03,0,0,0,0,1,20,2,1
284,156,595,0,2,0,1,0,1,1,1,0,0,255,17,0.07,0.94,0,0,0,0,1,20,2,1
297,252,272,0,0,0,1,0,0,7,7,0,0,255,67,0.26,0.02,0,0,0,0,1,25,2,0
0,12,0,0,0,0,0,0,0,1,1,0,0,2,1,0.5,1,0.5,0,0,0,1,20,2,1
0,105,146,0,0,0,0,0,0,3,2,0.67,0,255,253,0.99,0.01,0.01,0,0,0,3,50,2,0
0,12,0,0,0,0,0,0,0,2,2,0,0,70,25,0.2,0.1,0.2,0.08,0,0,1,20,2,1
4,32,93,0,0,0,1,0,0,1,1,0,0,111,96,0.86,0.03,0.01,0.02,0,0,1,48,2,1
1,124,178,0,0,1,0,0,0,1,1,0,0,10,2,0.2,0.3,0.1,0,0,0,1,61,2,1
0,52,50,0,0,0,0,0,0,511,511,0,0,255,255,1,0,0.8,0,0,0,3,50,2,0
0,26,157,0,0,1,0,0,1,1,1,0,0,156,72,0.46,0.03,0.01,0,0,0,1,20,2,1
282,162,597,0,2,0,1,0,1,1,1,0,0,10,8,0.8,0.2,0.1,0,0,0,1,20,2,1
280,283618,0,0,0,0,0,0,0,2,2,0,0,2,6,1,0,1,0.33,0,0,1,20,2,1
0,146,146,0,0,0,0,0,0,1,1,0,0,74,8,0.11,0.09,0.99,0,0,0,3,45,2,1
0,0,0,0,0,0,0,0,0,1,1,0,0,255,1,0,0.95,0.94,0,0,0,1,45,5,0
0,43,43,0,0,0,0,0,0,3,3,0,0,255,253,0.99,0.01,0.01,0,0,0,3,50,2,1
0,54,51,0,0,0,0,0,0,503,503,0,0,255,255,1,0,0.82,0,0,0,3,50,2,0
0,1,0,0,0,0,0,0,0,75,3,0.83,0,255,3,0.01,0.7,0.97,0,0,0,3,50,2,0
2,105,146,0,0,0,0,0,0,1,1,0,0,255,254,1,0.01,0.01,0,0,0,3,50,2,1
281,158,597,0,2,0,1,0,1,1,1,0,0,203,66,0.33,0.03,0,0,0,0,1,20,2,1
283,160,597,0,2,0,1,0,1,1,1,0,0,255,88,0.35,0.03,0.01,0,0.02,0,1,20,2,1
0,2183,326,0,0,0,1,0,0,1,1,0,0,255,65,0.25,0.02,0,0,0,0,1,55,2,0
